Id,Title,Name,Price,Image
766897033,Dilvin,30312 Dekoratif,"299,99 TL",https://cdn.dsmcdn.com/ty1330/product/media/images/prod/QC/20240521/11/16ce97d3-23a4-3f8f-8eed-84f55b7bbc5c/1_org.jpg
832099132,TRENDKOLİK,Trend Selection -,229 TL,https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240525/15/4d64abcc-5b30-37c0-984e-47d1a693ccd5/1_org.jpg
254444663,Jooy Company,Unisex Siyah,"238,10 TL",https://cdn.dsmcdn.com/ty707/product/media/images/20230128/15/268439008/406762211/1/1_org.jpg
797540941,uyguntarz,Age Of Steam,"119,05 TL",https://cdn.dsmcdn.com/ty1139/product/media/images/prod/SPM/PIM/20240117/11/db805114-4efa-37c0-bc7b-4d98e7fc5288/1_org.jpg
830470456,Teenage Millionaire,Kadın,124 TL,https://cdn.dsmcdn.com/ty1321/product/media/images/prod/QC/20240520/09/33f063c1-da6f-364a-bbfc-a456965ef2f8/1_org.jpg
827562561,blackbonds,Kadın Küçük Kalp,"199,90 TL",https://cdn.dsmcdn.com/ty1322/product/media/images/prod/SPM/PIM/20240508/15/2135a5b8-8230-3f49-b7b5-52ea2ea60142/1_org.jpg
794290291,MOONBULL,Unisex Brooklyn 25,99 TL,https://cdn.dsmcdn.com/ty1119/product/media/images/prod/SPM/PIM/20240104/12/d81be460-51ed-38b7-adf5-5dcdcaf7e8ee/1_org.jpg
83713116,Under Armour,Live Sportstyle,"124,90 TL",https://cdn.dsmcdn.com/ty70/product/media/images/20210216/15/63343635/140928535/1/1_org.jpg
456015808,MODAGEN,Kadın Bej The 1997,520 TL,https://cdn.dsmcdn.com/ty649/product/media/images/20221215/17/238726482/651242639/1/1_org.jpg
668688928,DUBU BUTİK,Füme Oversize Nasa,"124,90 TL",https://cdn.dsmcdn.com/ty774/product/media/images/20230313/12/302125916/884349282/1/1_org.jpg
824852063,Teenage Millionaire,Kadın,"114,99 TL",https://cdn.dsmcdn.com/ty1318/product/media/images/prod/QC/20240517/11/7e099fb7-0bf1-3027-b51b-e101d5573e99/1_org.jpg
